Transaction_ID,Account_ID,Customer_ID,Transaction_Date,Transaction_Type,Amount,Currency,Description,Channel,Branch_ID,Source_System,Fraud_Score
TXN-300002,ACCT-20129,CUST-10053,45593,Wire,26967.89,USD,Direct deposit,Mobile,BR-060,T24_Core,
TXN-300003,ACCT-20074,CUST-10017,45354,Transfer,43493.99,USD,Bill pay,ATM,BR-060,T24_Core,0.1925
TXN-300004,ACCT-20103,CUST-10130,45479,POS Purchase,3912.83,USD,Insurance premium,Wire,BR-016,JackHenry_Legacy,
TXN-300005,ACCT-20186,CUST-10052,45844,ACH Credit,13596.68,USD,Cash deposit,Wire,BR-073,T24_Core,
TXN-300006,ACCT-20220,CUST-10040,45432,ACH Debit,40981.09,USD,Gas station,ATM,BR-044,T24_Core,
TXN-300007,ACCT-20248,CUST-10098,45448,Mobile Deposit,23185.24,USD,Check deposit,ATM,BR-014,T24_Core,
TXN-300008,ACCT-20209,CUST-10004,45862,Interest,43083.45,USD,Wire transfer - domestic,ACH,BR-029,JackHenry_Legacy,
TXN-300009,ACCT-20085,CUST-10019,45482,Mobile Deposit,20442.34,USD,Customer refund,Mobile,BR-021,T24_Core,0.9216
TXN-300010,ACCT-20126,CUST-10015,45684,Interest,32547.06,USD,Payroll deposit,ACH,BR-004,T24_Core,
TXN-300011,ACCT-20128,CUST-10067,45295,Withdrawal,30273.75,USD,Wire transfer - domestic,Wire,BR-039,T24_Core,
TXN-300012,ACCT-20220,CUST-10133,46001,ACH Debit,45497.91,USD,Bill pay,Mobile,BR-078,JackHenry_Legacy,
TXN-300013,ACCT-20047,CUST-10079,45615,Interest,36698,USD,Gas station,ATM,BR-050,T24_Core,
TXN-300014,ACCT-20051,CUST-10079,45640,ACH Debit,325.98,USD,International wire,ACH,BR-050,T24_Core,
TXN-300015,ACCT-20251,CUST-10044,45539,ACH Credit,8824.18,USD,Online shopping,Branch,BR-009,T24_Core,
TXN-300016,ACCT-20057,CUST-10050,45332,Withdrawal,12971.3,USD,Wire transfer - domestic,Branch,BR-010,T24_Core,
TXN-300017,ACCT-20053,CUST-10008,45300,Deposit,29284.39,USD,Utility payment,Wire,BR-060,T24_Core,
TXN-300018,ACCT-20250,CUST-10097,45828,Wire,30151.23,USD,Vendor payment,Online,BR-060,T24_Core,
