Score_ID,Customer_ID,Model_Name,Model_ID,Score_Date,Risk_Score,Confidence,Decision_Output,Feature_Count,Training_Data_Date,Model_Version,Validation_Date,Bias_Test_Date,Explainability_Available,Documentation_Status
SCR-70002,CUST-10034,Customer Churn Prediction,MDL-004,45629,0.7111,0.536,High Risk,,2022-06-30,v1.2,,Never,,None
SCR-70003,CUST-10029,Customer Churn Prediction,MDL-004,45721,0.83,0.408,High Risk,24,Unknown,v2.0,Unknown,,,Draft
SCR-70004,CUST-10052,Customer Service Chatbot,MDL-008,45520,0.8578,0.486,Complaint,67,,v1.0,,Never,Unknown,None
SCR-70005,CUST-10016,Small Business Underwriting,MDL-003,45761,0.7814,0.892,Deny,24,Unknown,v1.2,,,No,None
SCR-70006,CUST-10122,Credit Card Fraud Detection,MDL-001,45798,0.7857,0.712,Alert,48,,v1.2,,,Unknown,Draft
SCR-70007,CUST-10123,Small Business Underwriting,MDL-003,45846,0.2206,0.934,Approve,36,2023-01-15,v2.0,,Unknown,Partial,None
SCR-70008,CUST-10133,Product Recommendation,MDL-005,45421,0.7995,0.84,Credit Card,48,2021-11-01,Unknown,2022-12-01,Unknown,No,None
SCR-70009,CUST-10039,Credit Card Fraud Detection,MDL-001,45941,0.9586,0.593,Alert,12,,v1.2,Never,Never,Partial,None
SCR-70010,CUST-10070,Product Recommendation,MDL-005,45701,0.5862,0.771,Mortgage,,2021-11-01,v1.2,Never,,Yes,Draft
SCR-70011,CUST-10121,Marketing Campaign Targeting,MDL-006,45629,0.7589,0.714,Segment D,24,2021-11-01,v1.2,Never,,Yes,Partial
SCR-70012,CUST-10106,Customer Service Chatbot,MDL-008,45996,0.535,0.836,Account Balance,48,2022-06-30,v1.2,,Never,Yes,Draft
SCR-70013,CUST-10105,Credit Card Fraud Detection,MDL-001,45750,0.1203,0.565,Pass,120,2022-06-30,Unknown,2023-06-15,Never,Partial,
SCR-70014,CUST-10012,Customer Churn Prediction,MDL-004,45531,0.476,0.563,Low Risk,48,,v2.0,2023-06-15,Never,,
SCR-70015,CUST-10148,Customer Churn Prediction,MDL-004,45887,0.2777,0.652,Low Risk,36,2023-01-15,,2023-06-15,Unknown,,None
SCR-70016,CUST-10050,Product Recommendation,MDL-005,45389,0.1721,0.493,Credit Card,36,Unknown,v2.3,2023-06-15,Unknown,Unknown,Partial
SCR-70017,CUST-10009,Small Business Underwriting,MDL-003,45975,0.1179,0.938,Approve,36,2023-01-15,v1.2,Unknown,,Yes,Partial
SCR-70018,CUST-10009,Marketing Campaign Targeting,MDL-006,45327,0.533,0.804,Segment D,,2023-01-15,v2.3,Never,Unknown,No,Draft
SCR-70019,CUST-10116,Marketing Campaign Targeting,MDL-006,45736,0.1574,0.988,Segment B,,Unknown,v2.0,,Unknown,No,None
SCR-70020,CUST-10104,Customer Churn Prediction,MDL-004,45569,0.2955,0.856,Low Risk,36,2023-01-15,v1.2,2022-12-01,Never,,None
SCR-70021,CUST-10149,Loan Default Prediction,MDL-007,45359,0.7124,0.882,Deny,12,2021-11-01,Unknown,2022-12-01,Never,No,
SCR-70022,CUST-10087,Personal Loan Underwriting,MDL-002,45353,0.5251,0.455,Refer,,,v1.2,Never,Never,Yes,
SCR-70023,CUST-10114,Small Business Underwriting,MDL-003,45875,0.0714,0.825,Approve,67,Unknown,v1.0,2023-06-15,Never,Yes,None
SCR-70024,CUST-10022,Credit Card Fraud Detection,MDL-001,45345,0.3225,0.847,Pass,48,,v1.0,Unknown,Unknown,Partial,None
SCR-70025,CUST-10039,Credit Card Fraud Detection,MDL-001,45786,0.9884,0.585,Alert,36,2023-01-15,Unknown,Never,Unknown,,
SCR-70026,CUST-10074,Customer Service Chatbot,MDL-008,45920,0.4911,0.937,Account Balance,12,Unknown,v2.3,Unknown,Never,,None
SCR-70027,CUST-10007,Customer Service Chatbot,MDL-008,45829,0.0441,0.429,Product Info,120,2023-01-15,v2.0,2022-12-01,,,Partial
SCR-70028,CUST-10097,Loan Default Prediction,MDL-007,45455,0.563,0.539,Refer,12,Unknown,v2.0,Never,Unknown,Unknown,None
SCR-70029,CUST-10121,Credit Card Fraud Detection,MDL-001,45942,0.053,0.523,Pass,12,2021-11-01,,2022-12-01,Never,No,None
SCR-70030,CUST-10069,Credit Card Fraud Detection,MDL-001,45904,0.802,0.948,Alert,12,Unknown,,,Unknown,No,
SCR-70031,CUST-10128,Customer Service Chatbot,MDL-008,45556,0.8805,0.547,Transfer,24,,v2.0,Never,Never,Yes,Partial
