Account_ID,Customer_ID,Account_Type,Business_Line,Product_Name,Open_Date,Status,Current_Balance,Currency,Interest_Rate,Branch_ID,Source_System,Last_Transaction_Date
ACCT-20002,CUST-10001,Credit Card,Retail Banking,Platinum Rewards Card,41239,Active,487490.02,USD,,BR-076,T24_Core,45936
ACCT-20003,CUST-10001,Credit Card,Retail Banking,Platinum Rewards Card,42928,Active,254756.52,USD,,BR-076,T24_Core,45931
ACCT-20004,CUST-10001,Investment,Retail Banking,Managed Portfolio,44448,Active,249128.67,USD,,BR-076,JackHenry_Legacy,45659
ACCT-20005,CUST-10002,Credit Card,Retail Banking,Platinum Rewards Card,43072,Active,352470.78,USD,,BR-009,JackHenry_Legacy,45886
ACCT-20006,CUST-10002,Checking,Retail Banking,Personal Checking Plus,41507,Closed,261726.06,USD,,BR-009,T24_Core,45932
ACCT-20007,CUST-10002,Mortgage,Retail Banking,30-Year Fixed Mortgage,45523,Active,267563.13,USD,0.58,BR-009,T24_Core,45787
ACCT-20008,CUST-10003,Checking,Retail Banking,Personal Checking Plus,41999,Dormant,347556.08,USD,,BR-042,T24_Core,45612
ACCT-20009,CUST-10004,Savings,Retail Banking,High Yield Savings,44470,Active,286472.71,USD,5.09,BR-029,T24_Core,45368
ACCT-20010,CUST-10004,Checking,Retail Banking,Personal Checking Plus,41191,Active,425737.48,USD,,BR-029,T24_Core,45630
ACCT-20011,CUST-10004,Investment,Retail Banking,Managed Portfolio,41228,Active,87389.46,USD,,BR-029,T24_Core,45999
ACCT-20012,CUST-10005,Savings,Retail Banking,High Yield Savings,40622,Active,399706.07,USD,6.53,BR-059,T24_Core,45846
ACCT-20013,CUST-10005,Credit Card,Retail Banking,Platinum Rewards Card,43826,Active,363026.95,USD,,BR-059,T24_Core,45690
ACCT-20014,CUST-10006,Credit Card,Retail Banking,Platinum Rewards Card,44447,Active,199432.53,USD,,BR-011,T24_Core,45782
ACCT-20015,CUST-10007,Credit Card,Retail Banking,Platinum Rewards Card,42938,Active,6030.33,USD,,BR-003,JackHenry_Legacy,45340
ACCT-20016,CUST-10007,Mortgage,Retail Banking,30-Year Fixed Mortgage,45057,Active,478096.21,USD,3.52,BR-003,T24_Core,45433
ACCT-20017,CUST-10007,Investment,Retail Banking,Managed Portfolio,44310,Closed,195637.77,USD,,BR-003,JackHenry_Legacy,45546
ACCT-20018,CUST-10008,Savings,Retail Banking,High Yield Savings,40363,Active,156703.59,USD,0.57,BR-060,T24_Core,45816
ACCT-20019,CUST-10008,Mortgage,Retail Banking,30-Year Fixed Mortgage,40473,Active,126022.86,USD,0.74,BR-060,JackHenry_Legacy,45630
ACCT-20020,CUST-10008,Checking,Retail Banking,Personal Checking Plus,44154,Active,428234.77,USD,,BR-060,T24_Core,45422
ACCT-20021,CUST-10009,Checking,Retail Banking,Personal Checking Plus,41843,Closed,319426.38,USD,,BR-062,T24_Core,45741
ACCT-20022,CUST-10009,Checking,Retail Banking,Personal Checking Plus,42013,Active,138716.01,USD,,BR-062,T24_Core,45704
ACCT-20023,CUST-10010,Investment,Retail Banking,Managed Portfolio,40620,Active,196377.96,USD,,BR-008,T24_Core,45527
