Alert_ID,Transaction_ID,Customer_ID,Alert_Date,Model_Name,Model_Version,Fraud_Score,Alert_Priority,Transaction_Amount,Transaction_Type,Channel,Investigation_Status,Resolution,Resolution_Date,Analyst_ID,False_Positive,Customer_Duplicate_Flag
FRD-50002,TXN-300072,CUST-10103,45297,FICO Falcon Fraud Detection,v3.2.1,0.6499,Medium,14281.99,Wire Transfer,Online,Under Investigation,,,FA-006,,No
FRD-50003,TXN-300096,CUST-10096,45706,FICO Falcon Fraud Detection,v3.2.1,0.6846,Medium,5844.59,Wire Transfer,ACH,Closed,Confirmed Fraud,45649,FA-004,No,No
FRD-50004,TXN-300301,CUST-10003,45438,FICO Falcon Fraud Detection,v3.1.0,0.5566,Medium,8022.25,Wire Transfer,Online,Open,,,,,No
FRD-50005,TXN-300052,CUST-10055,45491,FICO Falcon Fraud Detection,,0.4302,Low,21474.39,POS Purchase,Wire,Closed,Customer Verified,45540,,,No
FRD-50006,TXN-300128,CUST-10018,45973,FICO Falcon Fraud Detection,v3.1.0,0.6296,Medium,20707.99,Online Transfer,POS,Open,,,,,No
FRD-50007,TXN-300016,CUST-10111,45620,FICO Falcon Fraud Detection,v2.8.5,0.3296,Low,9799.87,ATM Withdrawal,Wire,Escalated,,,FA-006,,No
FRD-50008,TXN-300268,CUST-10033,45894,FICO Falcon Fraud Detection,v3.2.1,0.6308,Medium,10846.9,POS Purchase,Online,Closed,False Positive,45538,FA-006,Yes,No
FRD-50009,TXN-300203,CUST-10038,45890,FICO Falcon Fraud Detection,v2.8.5,0.8333,High,7622.25,ATM Withdrawal,ATM,Open,,,FA-003,,No
FRD-50010,TXN-300288,CUST-10079,45515,FICO Falcon Fraud Detection,v3.2.1,0.8902,High,17301.03,ACH Debit,ATM,Closed,,,FA-005,,No
FRD-50011,TXN-300149,CUST-10017,45454,FICO Falcon Fraud Detection,v3.1.0,0.4736,Low,14172.07,ACH Debit,ACH,Escalated,,,FA-002,,No
FRD-50012,TXN-300219,CUST-10086,45591,FICO Falcon Fraud Detection,v3.1.0,0.6572,Medium,20066,ACH Debit,Wire,Closed,Suspicious - Monitoring,46009,FA-005,,No
FRD-50013,TXN-300062,CUST-10083,45969,FICO Falcon Fraud Detection,v3.1.0,0.4411,Low,14973.37,ACH Debit,Wire,Closed,,,FA-006,,No
FRD-50014,TXN-300292,CUST-10128,45911,FICO Falcon Fraud Detection,v3.1.0,0.5587,Medium,6405.41,POS Purchase,ACH,Closed,Customer Verified,45500,FA-005,,No
FRD-50015,TXN-300132,CUST-10101,45887,FICO Falcon Fraud Detection,,0.3023,Low,20537.9,ATM Withdrawal,ATM,Under Investigation,,,FA-004,,No
FRD-50016,TXN-300245,CUST-10051,45849,FICO Falcon Fraud Detection,v3.2.1,0.4833,Low,3536.2,POS Purchase,ACH,Closed,Customer Verified,45319,FA-001,,No
FRD-50017,TXN-300051,CUST-10072,45749,FICO Falcon Fraud Detection,,0.3741,Low,1544,POS Purchase,ACH,Escalated,,,FA-005,,No
FRD-50018,TXN-300294,CUST-10071,45912,FICO Falcon Fraud Detection,v3.1.0,0.4961,Low,3834.99,ATM Withdrawal,ATM,Under Investigation,,,FA-003,,No
FRD-50019,TXN-300010,CUST-10057,45341,FICO Falcon Fraud Detection,,0.4186,Low,24467.88,ACH Debit,Online,Closed,False Positive,45330,,Yes,No
FRD-50020,TXN-300090,CUST-10105,45416,FICO Falcon Fraud Detection,v3.2.1,0.4525,Low,6007.33,ACH Debit,Online,Closed,,,FA-005,,No
FRD-50021,TXN-300211,CUST-10099,45874,FICO Falcon Fraud Detection,Unknown,0.6079,Medium,21272.13,Online Transfer,POS,Under Investigation,,,FA-005,,No
FRD-50022,TXN-300270,CUST-10070,45809,FICO Falcon Fraud Detection,Unknown,0.4415,Low,12713.61,Online Transfer,Online,Closed,Customer Verified,45448,FA-006,,No
FRD-50023,TXN-300108,CUST-10020,45455,FICO Falcon Fraud Detection,Unknown,0.7147,High,6889.84,ACH Debit,Wire,Closed,False Positive,45946,FA-001,Yes,No
FRD-50024,TXN-300013,CUST-10063,45942,FICO Falcon Fraud Detection,v2.8.5,0.7454,High,9555.22,Online Transfer,Online,Open,,,FA-006,,No
FRD-50025,TXN-300180,CUST-10115,45424,FICO Falcon Fraud Detection,v2.8.5,0.9273,Critical,11989.34,Wire Transfer,Wire,Open,,,,,No
FRD-50026,TXN-300048,CUST-10051,45342,FICO Falcon Fraud Detection,,0.8837,High,1299.12,POS Purchase,ATM,Closed,Suspicious - Monitoring,45874,FA-003,,No
FRD-50027,TXN-300097,CUST-10037,45483,FICO Falcon Fraud Detection,v3.1.0,0.8924,High,13036.67,Wire Transfer,POS,Escalated,,,FA-005,,No
FRD-50028,TXN-300242,CUST-10014,45724,FICO Falcon Fraud Detection,v3.2.1,0.6951,Medium,20202.83,Wire Transfer,ATM,Under Investigation,,,FA-006,,No
FRD-50029,TXN-300093,CUST-10020,45522,FICO Falcon Fraud Detection,v2.8.5,0.3465,Low,18094.05,Wire Transfer,ATM,Open,,,FA-002,,No
FRD-50030,TXN-300141,CUST-10063,45552,FICO Falcon Fraud Detection,v3.2.1,0.843,High,9875.45,Wire Transfer,POS,Escalated,,,FA-004,,No
FRD-50031,TXN-300190,CUST-10040,45877,FICO Falcon Fraud Detection,Unknown,0.8841,High,4419.87,POS Purchase,Wire,Under Investigation,,,FA-002,,No
FRD-50032,TXN-300272,CUST-10011,45986,FICO Falcon Fraud Detection,Unknown,0.3463,Low,13780.38,Online Transfer,ATM,Closed,False Positive,45978,FA-003,Yes,No
FRD-50033,TXN-300257,CUST-10104,45298,FICO Falcon Fraud Detection,v3.2.1,0.8186,High,15014.97,ACH Debit,ACH,Closed,False Positive,45579,FA-004,Yes,No
FRD-50034,TXN-300103,CUST-10097,45396,FICO Falcon Fraud Detection,v3.1.0,0.5067,Medium,11276.01,ATM Withdrawal,Wire,Open,,,FA-006,,No
FRD-50035,TXN-300226,CUST-10078,45882,FICO Falcon Fraud Detection,Unknown,0.5735,Medium,17836.61,ACH Debit,Wire,Under Investigation,,,FA-004,,No
FRD-50036,TXN-300076,CUST-10034,45424,FICO Falcon Fraud Detection,v3.2.1,0.5869,Medium,8796.35,Online Transfer,Online,Open,,,FA-001,,No
FRD-50037,TXN-300247,CUST-10076,45454,FICO Falcon Fraud Detection,v3.1.0,0.5448,Medium,7793.03,ATM Withdrawal,Wire,Closed,Confirmed Fraud,45327,FA-006,No,No
FRD-50038,TXN-300192,CUST-10070,45517,FICO Falcon Fraud Detection,v2.8.5,0.3413,Low,19972.85,Online Transfer,ACH,Under Investigation,,,FA-005,,No
FRD-50039,TXN-300301,CUST-10084,45529,FICO Falcon Fraud Detection,Unknown,0.4966,Low,10863.53,ATM Withdrawal,POS,Open,,,FA-006,,No
FRD-50040,TXN-300195,CUST-10130,45984,FICO Falcon Fraud Detection,Unknown,0.3464,Low,18299.67,ACH Debit,Wire,Under Investigation,,,FA-002,,No
FRD-50041,TXN-300023,CUST-10051,45413,FICO Falcon Fraud Detection,v3.1.0,0.3643,Low,4902.61,ATM Withdrawal,Wire,Closed,Suspicious - Monitoring,45730,FA-005,,No
