Application_ID,Customer_ID,Business_Line,Loan_Type,Application_Date,Requested_Amount,Term_Months,Purpose,Annual_Income,Credit_Score,DTI_Ratio,Employment_Status,Employment_Years,Collateral_Type,Collateral_Value,AI_Decision,AI_Risk_Score,Manual_Override,Override_Reason,Final_Decision,Decision_Date,Source_System
APP-40002,CUST-10005,Retail Banking,Mortgage Refinance,45637,349568,48,Home improvement,101939,772,0.28,,29,Unsecured,1258289,Referred,0.6071,,,Denied,45913,nCino_Pilot
APP-40003,CUST-10143,Small Business Banking,Working Capital,45765,184804,36,Equipment,1006921,767,0.32,Retired,5,Cash/Securities,734144,Referred,0.4633,,,Denied,45406,nCino_Pilot
APP-40004,CUST-10095,Retail Banking,Home Equity Line,45577,157999,360,Equipment,69433,621,0.38,Part-Time,1,,1176938,Referred,0.4847,,,Approved,45760,nCino_Pilot
APP-40005,CUST-10034,Retail Banking,Mortgage Refinance,45744,323306,36,Equipment,43300,691,0.21,,13,Inventory,594853,Referred,0.418,,,Approved,45829,Encompass_LOS
APP-40006,CUST-10082,Retail Banking,Mortgage Refinance,45483,123016,12,Inventory financing,115316,582,0.4,Retired,11,Cash/Securities,813950,Referred,0.4814,,,Denied,45852,Encompass_LOS
APP-40007,CUST-10008,Retail Banking,Auto Loan,45668,77651,360,Education,117876,766,0.4,Self-Employed,30,Cash/Securities,,Approved,0.1249,,,Approved,45681,nCino_Pilot
APP-40008,CUST-10100,Retail Banking,Auto Loan,45448,450806,60,Home improvement,219114,674,0.38,Employed,29,Inventory,1275104,Denied,0.7224,,,Denied,45773,Encompass_LOS
APP-40009,CUST-10119,Retail Banking,Personal Loan,45315,426363,12,Equipment,239981,639,0.32,,24,Real Estate,555320,Denied,0.9057,,,Denied,45651,nCino_Pilot
APP-40010,CUST-10137,Small Business Banking,Working Capital,45456,234911,240,Real estate acquisition,1680078,638,0.51,Part-Time,6,Vehicle,1599516,Approved,0.3225,,,Approved,45632,Encompass_LOS
APP-40011,CUST-10106,Retail Banking,Home Equity Line,46007,79422,48,Medical expenses,176368,687,0.55,Retired,28,Equipment,1477087,Approved,0.2454,,,Approved,45939,nCino_Pilot
APP-40012,CUST-10010,Retail Banking,Auto Loan,45997,82607,360,Medical expenses,178138,794,0.16,Part-Time,18,Vehicle,1467693,Denied,0.8686,,,Denied,45371,Encompass_LOS
APP-40013,CUST-10099,Retail Banking,Home Equity Line,45832,338846,240,Inventory financing,31438,797,0.58,Part-Time,10,Equipment,1241312,Referred,0.5924,,,Approved,45912,Encompass_LOS
APP-40014,CUST-10125,Retail Banking,Auto Loan,45755,461540,36,Medical expenses,127655,840,0.24,,7,Cash/Securities,,Denied,0.8843,Yes,Relationship value,Approved,45888,Encompass_LOS
APP-40015,CUST-10135,Small Business Banking,Equipment Purchase,45430,393695,240,Inventory financing,858262,672,0.48,Employed,3,Inventory,530034,Referred,0.4206,,,Approved,45438,Encompass_LOS
APP-40016,CUST-10063,Retail Banking,Auto Loan,45653,366568,24,Vehicle purchase,68684,777,0.24,,13,Vehicle,1607359,Denied,0.9608,,,Denied,45873,nCino_Pilot
APP-40017,CUST-10014,Retail Banking,Home Equity Line,45554,419195,48,Working capital,218085,720,0.25,Part-Time,0,Unsecured,1907899,Approved,0.1583,,,Approved,45641,Encompass_LOS
APP-40018,CUST-10151,Small Business Banking,Commercial Real Estate,45916,5259,240,Medical expenses,118429,687,0.35,Retired,34,Vehicle,1431538,Approved,0.3018,,,Approved,45976,Encompass_LOS
APP-40019,CUST-10047,Retail Banking,Mortgage Refinance,45971,8416,24,Real estate acquisition,52158,845,0.64,Retired,34,,,Referred,0.4876,,,Approved,45389,Encompass_LOS
